key,en_EN,zh_CN
event_0_name,Visit Friends,拜访好友
event_1_name,"Rob the Rich, Aid the Poor",劫富济贫
event_2_name,Shield,护盾
event_3_name,Buy a Blind Box,买个盲盒
event_4_name,WeChat Step Count,微信步数
event_5_name,Steal a Deal,捡漏
event_6_name,Lucky Single Pull,单抽出奇迹
event_7_name,Out-of-Print Collectible,绝版珍藏
event_8_name,Ancient Coin,古币
event_9_name,Lucky Double Coin Pull,两币出奇迹
event_10_name,Easter Egg,彩蛋
event_11_name,Film Camera,胶片机
event_12_name,Ginger Cat Photobomb,橘猫抢镜
event_13_name,Heart-Shaped Stone,心形奇石
event_14_name,Old Tea Garden,老茶园
event_15_name,White Strawberry,白草莓
event_16_name,Parakeet,小鹦鹉
event_17_name,Floral Pillow,碎花抱枕
event_18_name,Kindness Repaid,善意回响
event_19_name,Pearl Button,珍珠纽扣
event_20_name,Early Summer,初夏
event_21_name,Wild Tea Tree,野茶树
event_22_name,Sunset Glow,晚霞
event_23_name,Merch Licensing Deal,周边签约
event_24_name,First Prize,一等奖
event_25_name,Tulip,郁金香
event_26_name,Wedding Bouquet,手捧花
event_27_name,Brass Bell,铜铃铛
event_28_name,Meteor Shower,流星雨
event_29_name,Tangerine,橘子
event_30_name,Silk Wrap Flower (Intangible Cultural Heritage),缠花
event_31_name,Pagoda Flower Tea,槐花茶
event_32_name,Drone,无人机
event_33_name,Stray Cat King Repays Favor,猫王报恩
event_34_name,Dessert Award Winner,甜品获奖
event_35_name,Location Scout Consultant,取景顾问
event_36_name,Hedgehog Visitor,刺猬访客
event_37_name,Pinecone Munching,啃松果
event_38_name,Lavender Surprise,薰衣草惊喜
event_39_name,Local Flora Monograph,植物志
event_40_name,Charity Ambassador,公益大使
event_41_name,Traditional Craft,老手艺
event_42_name,Rapeseed Flower Field,油菜花田
event_43_name,BTS Red Envelope,花絮红包
event_44_name,Custom Keyboard,定制键盘
event_45_name,Data Boost,数据加持
event_46_name,Vintage Food Coupon,粮票
event_47_name,Bamboo Basket Potted Plant,竹篮盆栽
event_48_name,Power Outage Night,停电的夜晚
event_49_name,Luosifen (Snail Rice Noodle),螺蛳粉
event_50_name,Gold Photography Award,摄影金奖
event_51_name,Peony Exhibition,牡丹展
event_52_name,Turtle Dove Tenant,斑鸠房客
event_53_name,Today's Special,今日特价
event_54_name,Endless Free Drinks,再来亿瓶
event_55_name,Time Capsule Ginkgo Leaf,时光银杏
event_56_name,Collaboration with Rain,雨的合作
event_57_name,Buzzer Beater,绝杀
event_58_name,Supermarket Grand Prize,超市特等奖
event_59_name,Bullet Chat Lucky Winner,弹幕锦鲤
event_60_name,Newbie God of War,新手战神
event_61_name,Century-Old Flower Seeds,百年花种
event_62_name,One-of-a-Kind Vase,孤品花器
event_63_name,Artisanal Honey,手工蜂蜜
event_64_name,Natural Spring,泉眼
event_65_name,Amber,琥珀
event_66_name,Sweet Dew,甘露
event_67_name,Edelweiss Tea,雪绒花茶
event_68_name,Highlight Fern,点睛的蕨类
event_69_name,Rose Grotto,蔷薇岩洞
event_70_name,Extinct Peony,绝迹芍药
event_71_name,Rhyolite Base,流纹岩底座
event_72_name,Burl Pen Holder,树瘤笔筒
event_73_name,Oak Leaf Invitation,橡树邀请函
event_74_name,Firefly,萤火虫
event_75_name,Vintage Lace,复古蕾丝
event_76_name,Snowdrop,雪滴花
event_77_name,Clematis,铁线莲
event_78_name,Green Algae,绿水藻
event_79_name,Moss Lawn,苔藓草坪
event_80_name,Wheat Bran Fertilizer,麦麸花肥
event_81_name,Sunrise Postcard,日出明信片
event_82_name,Insect Pollination,昆虫传粉
event_83_name,Bee,蜜蜂
event_84_name,Floral Design Consultant,花艺指导
event_85_name,Tapestry,挂毯
event_86_name,Diary,日记
event_87_name,Glass Vase,玻璃花器
event_88_name,Wild Tit,野山雀
event_89_name,Coffee Grounds Secret Recipe,咖啡渣秘方
event_90_name,Photographer 1,摄影师-1
event_91_name,Photographer 2,摄影师-2
event_92_name,Photographer 3,摄影师-3
event_93_name,Photographer 4,摄影师-4
event_94_name,Photographer 5,摄影师-5
event_95_name,Photographer 6,摄影师-6
event_96_name,Photographer 7,摄影师-7
event_97_name,Photographer 8,摄影师-8
event_98_name,Photographer 9,摄影师-9
event_99_name,Photographer 10,摄影师-10
